1142,1137,"pneumococcal vaccine","fever","60 very common","","","","","",""
429,1810,"desmopressin","infection","40 poss","","","","","",""
429,1519,"desmopressin","hyponatraemia","40 poss","","","","","",""
429,1316,"desmopressin","headache","40 poss","","","","","",""
429,661,"desmopressin","cough","40 poss","","","","","",""
429,1163,"desmopressin","flu-like illness","40 poss","","","","","",""
429,53,"desmopressin","accident","40 poss","","","","","",""
429,828,"desmopressin","depressed mood","40 poss","","","","","",""
429,942,"desmopressin","ear ache","40 poss","","","","","",""
429,890,"desmopressin","dizziness","40 poss","","","","","",""
429,1137,"desmopressin","fever","40 poss","","","","","",""
432,2055,"desonide","Local reactions","40 poss","","","","","",""
432,3260,"desonide","skin atrophy","40 poss","","","","","",""
432,1810,"desonide","infection","40 poss","","","","","",""
432,1526,"desonide","hypopigmentation","40 poss","","","","","",""
432,1486,"desonide","hypertrichosis","40 poss","","","","","",""
432,913,"desonide","dryness","40 poss","","","","","",""
432,833,"desonide","dermatitis","40 poss","","","","","",""
432,65,"desonide","acneiform eruption","40 poss","","","","","",""
432,1169,"desonide","folliculitis","40 poss","","","","","",""
432,3425,"desonide","systemic corticosteroid effects","40 poss","","","","","",""
433,2265,"desvenlafaxine","musculoskeletal stiffness","40 poss","","","","","",""
433,3232,"desvenlafaxine","sexual dysfunction","40 poss","","","","","",""
433,3189,"desvenlafaxine","serotonin syndrome","40 poss","","","Y","","",""
433,3150,"desvenlafaxine","seizure","40 poss","","","","","",""
433,2963,"desvenlafaxine","rash","40 poss","","","","","",""
433,2583,"desvenlafaxine","palpitation","40 poss","","","","","",""
433,2117,"desvenlafaxine","mania","40 poss","","","","","",""
433,2406,"desvenlafaxine","NMS-like reaction","40 poss","","","Y","","",""
433,3238,"desvenlafaxine","SIADH","40 poss","","","","","",""
433,1915,"desvenlafaxine","irritability","40 poss","","","","","",""
433,2523,"desvenlafaxine","orthostatic hypotension","40 poss","Elderly","","","","",""
433,3323,"desvenlafaxine","somnolence","40 poss","","","","","",""
433,3352,"desvenlafaxine","Stevens-Johnson syndrome","40 poss","","","","","",""
433,3436,"desvenlafaxine","tachycardia","40 poss","","","","","",""
433,3459,"desvenlafaxine","TEN","40 poss","","","","","",""
433,3534,"desvenlafaxine","tinnitus","40 poss","","","","","",""
433,3808,"desvenlafaxine","weight change","40 poss","","","","","",""
433,3747,"desvenlafaxine","vertigo","40 poss","","","","","",""
433,3766,"desvenlafaxine","vision disturbance","40 poss","","","","","",""
433,3838,"desvenlafaxine","yawning","40 poss","","","","","",""
433,7699,"desvenlafaxine","cutaneous reaction","40 poss","","","","","",""
433,3666,"desvenlafaxine","urinary hesitation","40 poss","","","","","",""
433,705,"desvenlafaxine","decr appetite","40 poss","","","","","",""
433,1862,"desvenlafaxine","insomnia","40 poss","","","","","",""
433,3819,"desvenlafaxine","withdrawal syndrome","40 poss","","","","","",""
433,35,"desvenlafaxine","abnormal LFTs","40 poss","","","","","",""
433,229,"desvenlafaxine","anxiety","40 poss","","","","","",""
433,270,"desvenlafaxine","asthenia","40 poss","","","","","",""
433,561,"desvenlafaxine","CNS disturbance","40 poss","","","","","",""
433,871,"desvenlafaxine","discontinuation effects","40 poss","","","","","",""
433,890,"desvenlafaxine","dizziness","40 poss","","","","","",""
433,908,"desvenlafaxine","dry mouth","40 poss","","","","","",""
433,1032,"desvenlafaxine","erythema multiforme","40 poss","","","","","",""
433,1518,"desvenlafaxine","hypomania","40 poss","","","","","",""
433,1643,"desvenlafaxine","incr cholesterol","40 poss","","","","","",""
433,520,"desvenlafaxine","chills","40 poss","","","","","",""
433,1116,"desvenlafaxine","fatigue","40 poss","","","","","",""
433,1730,"desvenlafaxine","incr risk bleeding event","40 poss","","","","","",""
433,1519,"desvenlafaxine","hyponatraemia","40 poss","","","","","",""
433,1445,"desvenlafaxine","hyperhidrosis","40 poss","","","","","",""
433,1410,"desvenlafaxine","hot flush","40 poss","","","","","",""
433,1316,"desvenlafaxine","headache","40 poss","","","","","",""
433,1225,"desvenlafaxine","GI disturbance","40 poss","","","","","",""
433,1635,"desvenlafaxine","incr BP","40 poss","","","","","",""
434,1689,"dexamethasone","incr lacrimation","40 poss","","","","","",""
434,3772,"dexamethasone","visual acuity/ field defect","40 poss","","","","","","Prolonged use"
434,1686,"dexamethasone","incr IOP","40 poss","","","","","",""
434,1916,"dexamethasone","irritation","40 poss","","","","","",""
434,1950,"dexamethasone","keratitis","40 poss","","","","","",""
434,2499,"dexamethasone","optic nerve damage","40 poss","","","","","","Prolonged use"
434,2764,"dexamethasone","posterior subcapsular cataract","40 poss","","","","","","Prolonged use"
434,3147,"dexamethasone","Secondary infection","40 poss","","","","","",""
434,1568,"dexamethasone","immune suppression","40 poss","","","","","","Prolonged use"
434,2444,"dexamethasone","ocular discomfort","40 poss","","","","","",""
434,2842,"dexamethasone","pruritus","40 poss","","","","","",""
434,616,"dexamethasone","conjunctivitis","40 poss","","","","","",""
434,1431,"dexamethasone","hyperaemia","40 poss","","","","","",""
434,2698,"dexamethasone","photophobia","40 poss","","","","","",""
434,376,"dexamethasone","blurred vision","40 poss","","","","","",""
434,650,"dexamethasone","corneal staining","40 poss","","","","","",""
434,674,"dexamethasone","Cushing's syndrome","40 poss","","","","","","Prolonged use"
434,924,"dexamethasone","dysgeusia","40 poss","","","","","",""
434,1080,"dexamethasone","eyelid crusting","40 poss","","","","","",""
434,1171,"dexamethasone","foreign body sensation in eye","40 poss","","","","","",""
434,1241,"dexamethasone","glaucoma","40 poss","","","","","","Prolonged use"
434,108,"dexamethasone","adrenal suppression","40 poss","","","","","","Prolonged use"
436,3607,"dexamphetamine sulfate","tremor","40 poss","","","","","",""
436,2693,"dexamphetamine sulfate","phonic tic","40 poss","","","","","",""
436,2214,"dexamphetamine sulfate","motor tic","40 poss","","","","","",""
436,2564,"dexamphetamine sulfate","overstimulation","40 poss","","","","","",""
436,2583,"dexamphetamine sulfate","palpitation","40 poss","","","","","",""
436,2965,"dexamphetamine sulfate","Raynaud phenomenon","40 poss","","","","","",""
436,3055,"dexamphetamine sulfate","restlessness","40 poss","","","","","",""
436,3150,"dexamphetamine sulfate","seizure","40 poss","","","Y","","",""
436,3551,"dexamphetamine sulfate","Tourette syndrome exacerbation","40 poss","","","","","",""
436,1635,"dexamphetamine sulfate","incr BP","40 poss","","","","","",""
436,3436,"dexamphetamine sulfate","tachycardia","40 poss","","","","","",""
436,823,"dexamphetamine sulfate","dependence","40 poss","","","","","",""
436,2012,"dexamphetamine sulfate","libido changes","40 poss","","","","","",""
436,1862,"dexamphetamine sulfate","insomnia","40 poss","","","","","",""
436,475,"dexamphetamine sulfate","cardiomyopathy","40 poss","","","","","",""
436,890,"dexamphetamine sulfate","dizziness","40 poss","","","","","",""
436,908,"dexamphetamine sulfate","dry mouth","40 poss","","","","","",""
436,929,"dexamphetamine sulfate","dyskinesia","40 poss","","","","","",""
436,1234,"dexamphetamine sulfate","GI upset","40 poss","","","","","",""
436,1316,"dexamphetamine sulfate","headache","40 poss","","","","","",""
436,1595,"dexamphetamine sulfate","impotence","40 poss","","","","","",""
436,212,"dexamphetamine sulfate","anorexia","40 poss","","","","","",""
437,1531,"dexchlorpheniramine maleate","hypotension","40 poss","","","","","",""
437,3149,"dexchlorpheniramine maleate","sedation","40 poss","","","","","",""
437,1982,"dexchlorpheniramine maleate","Laxative effect","40 poss","","","","","",""
437,2583,"dexchlorpheniramine maleate","palpitation","40 poss","","","","","",""
437,2600,"dexchlorpheniramine maleate","paradoxical excitation","40 poss","Children","","","","",""
437,2701,"dexchlorpheniramine maleate","photosensitivity","40 poss","","","","","",""
437,3150,"dexchlorpheniramine maleate","seizure","40 poss","","","","","",""
437,3402,"dexchlorpheniramine maleate","sweating","40 poss","","","","","",""
437,3479,"dexchlorpheniramine maleate","thickened bronchial secretion","40 poss","","","","","",""
437,3486,"dexchlorpheniramine maleate","throat","40 poss","","","","","",""
437,3670,"dexchlorpheniramine maleate","urinary retention","40 poss","","","","","",""
437,3815,"dexchlorpheniramine maleate","wheezing","40 poss","","","","","",""
437,376,"dexchlorpheniramine maleate","blurred vision","40 poss","","","","","",""
437,1428,"dexchlorpheniramine maleate","hyper/hypotension","40 poss","","","","","",""
437,368,"dexchlorpheniramine maleate","blood dyscrasia","40 poss","","","","","",""
437,563,"dexchlorpheniramine maleate","CNS effects","40 poss","","","","","",""
437,829,"dexchlorpheniramine maleate","depression","40 poss","","","","","",""
437,881,"dexchlorpheniramine maleate","disturbed coordination","40 poss","","","","","",""
437,890,"dexchlorpheniramine maleate","dizziness","40 poss","","","","","",""
437,908,"dexchlorpheniramine maleate","dry mouth","40 poss","","","","","",""
437,910,"dexchlorpheniramine maleate","dry nose","40 poss","","","","","",""
437,1234,"dexchlorpheniramine maleate","GI upset","40 poss","","","","","",""
437,1307,"dexchlorpheniramine maleate","hallucination","40 poss","","","","","",""
438,640,"dexmedetomidine","corneal dryness","40 poss","","","","","",""
438,1137,"dexmedetomidine","fever","40 poss","","","","","",""
438,1234,"dexmedetomidine","GI upset","40 poss","","","","","",""
438,1494,"dexmedetomidine","hypo/ hypertension","40 poss","","","","","",""
438,2216,"dexmedetomidine","mouth disorder","40 poss","","","","","",""
438,3323,"dexmedetomidine","somnolence","40 poss","","","","","",""
438,401,"dexmedetomidine","bradycardia/ tachycardia","40 poss","","","","","",""
440,937,"dextran 1","dyspnoea","40 poss","","","","","",""
440,3436,"dextran 1","tachycardia","40 poss","","","","","",""
440,3796,"dextran 1","vomiting","40 poss","","","","","",""
440,399,"dextran 1","bradycardia","40 poss","","","","","",""
440,1531,"dextran 1","hypotension","40 poss","","","","","",""
440,1471,"dextran 1","hypersensitivity reactions","40 poss","","","","","",""
441,940,"dextromethorphan hydrobromide","dystonia","40 poss","","","","","",""
441,1982,"dextromethorphan hydrobromide","Laxative effect","40 poss","","","","","",""
441,1467,"dextromethorphan hydrobromide","hypersensitivity","40 poss","","","","","",""
441,1234,"dextromethorphan hydrobromide","GI upset","40 poss","","","","","",""
441,1116,"dextromethorphan hydrobromide","fatigue","40 poss","","","","","",""
441,899,"dextromethorphan hydrobromide","drowsiness","40 poss","","","","","",""
441,890,"dextromethorphan hydrobromide","dizziness","40 poss","","","","","",""
441,205,"dextromethorphan hydrobromide","angioedema","40 poss","","","","","",""
441,190,"dextromethorphan hydrobromide","anaphylactic reaction","40 poss","","","","","",""
441,51,"dextromethorphan hydrobromide","abuse","40 poss","","","","","",""
441,1147,"dextromethorphan hydrobromide","fixed drug eruption","40 poss","","","","","",""
443,1343,"dextropropoxyphene","hepatic dysfunction","40 poss","","","","","",""
443,2866,"dextropropoxyphene","psychic dependence","40 poss","","","","","",""
443,3559,"dextropropoxyphene","toxic psychosis","40 poss","","","","High dose, Prolonged","",""
443,3150,"dextropropoxyphene","seizure","40 poss","","","","High dose, Prolonged","",""
443,3149,"dextropropoxyphene","sedation","40 poss","","","","","",""
443,3020,"dextropropoxyphene","renal papillary necrosis","40 poss","","","","","",""
443,2963,"dextropropoxyphene","rash","40 poss","","","","","",""
443,1573,"dextropropoxyphene","impaired alertness","40 poss","","","","","",""
443,1234,"dextropropoxyphene","GI upset","40 poss","","","","","",""
443,890,"dextropropoxyphene","dizziness","40 poss","","","","","",""
443,561,"dextropropoxyphene","CNS disturbance","40 poss","","","","","",""
443,368,"dextropropoxyphene","blood dyscrasia","40 poss","","","","","",""
443,2330,"dextropropoxyphene","necrosis","40 poss","","","","","",""
444,2866,"dextropropoxyphene napsylate","psychic dependence","40 poss","","","","","",""
444,3559,"dextropropoxyphene napsylate","toxic psychosis","40 poss","","","","High dose, Prolonged","",""
444,3494,"dextropropoxyphene napsylate","thrombocytopenia","40 poss","","","","","",""
444,2963,"dextropropoxyphene napsylate","rash","40 poss","","","","","",""
444,2005,"dextropropoxyphene napsylate","leukopenia","40 poss","","","","","",""
444,1573,"dextropropoxyphene napsylate","impaired alertness","40 poss","","","","","",""
444,1316,"dextropropoxyphene napsylate","headache","40 poss","","","","","",""
444,1307,"dextropropoxyphene napsylate","hallucination","40 poss","","","","","",""
444,35,"dextropropoxyphene napsylate","abnormal LFTs","40 poss","","","","","",""
444,3149,"dextropropoxyphene napsylate","sedation","40 poss","","","","","",""
444,1234,"dextropropoxyphene napsylate","GI upset","40 poss","","","","","",""
444,3807,"dextropropoxyphene napsylate","weakness","40 poss","","","","","",""
444,152,"dextropropoxyphene napsylate","allergy","40 poss","","","","","",""
444,561,"dextropropoxyphene napsylate","CNS disturbance","40 poss","","","","","",""
444,626,"dextropropoxyphene napsylate","convulsions","40 poss","","","","High dose, Prolonged","",""
444,890,"dextropropoxyphene napsylate","dizziness","40 poss","","","","","",""
444,936,"dextropropoxyphene napsylate","dysphoria","40 poss","","","","","",""
444,1037,"dextropropoxyphene napsylate","euphoria","40 poss","","","","","",""
445,1466,"diazepam","hypersalivation","40 poss","","","","","",""
445,3607,"diazepam","tremor","40 poss","","","","","",""
445,2387,"diazepam","Neutropenia","40 poss","","","","","",""
445,1602,"diazepam","incontinence","40 poss","","","","","",""
445,1660,"diazepam","incr falls","40 poss","","","","","",""
445,2012,"diazepam","libido changes","40 poss","","","","","",""
445,2253,"diazepam","muscle weakness","40 poss","","","","","",""
445,1531,"diazepam","hypotension","40 poss","","","","","",""
445,2603,"diazepam","paradoxical reaction","40 poss","","","Y","","",""
445,2963,"diazepam","rash","40 poss","","","","","",""
445,3032,"diazepam","respiratory depression","40 poss","","","","","",""
445,3309,"diazepam","slurred speech","40 poss","","","","","",""
445,3565,"diazepam","transient amnesia","40 poss","","","","","",""
445,3670,"diazepam","urinary retention","40 poss","","","","","",""
445,3747,"diazepam","vertigo","40 poss","","","","","",""
445,1316,"diazepam","headache","40 poss","","","","","",""
445,3540,"diazepam","tolerance","40 poss","","","","","",""
445,602,"diazepam","confusion","40 poss","","","","","",""
445,1234,"diazepam","GI upset","40 poss","","","","","",""
445,216,"diazepam","anterograde amnesia","40 poss","","","","","",""
445,275,"diazepam","ataxia","40 poss","","","","","",""
445,461,"diazepam","cardiac failure","40 poss","","","","","",""
445,703,"diazepam","decr alertness","40 poss","","","","","",""
445,823,"diazepam","dependence","40 poss","","","","","",""
445,829,"diazepam","depression","40 poss","","","","","",""
445,1116,"diazepam","fatigue","40 poss","","","","","",""
445,890,"diazepam","dizziness","40 poss","","","","","",""
445,899,"diazepam","drowsiness","40 poss","","","","","",""
445,908,"diazepam","dry mouth","40 poss","","","","","",""
445,921,"diazepam","dysathria","40 poss","","","","","",""
445,986,"diazepam","emotional poverty","40 poss","","","","","",""
445,1174,"diazepam","fracture risk","40 poss","","","","","",""
445,860,"diazepam","diplopia","40 poss","","","","","",""
445,376,"diazepam","blurred vision","40 poss","","","","","",""
446,1489,"diazoxide","hyperuricaemia","40 poss","","","","","",""
446,1531,"diazoxide","hypotension","40 poss","","","","","",""
446,1927,"diazoxide","itching","40 poss","","","","","",""
446,2019,"diazoxide","lightheadedness","40 poss","","","","","",""
446,2286,"diazoxide","myocardial","40 poss","","","","","",""
446,2460,"diazoxide","oedema","40 poss","","","","","",""
446,3402,"diazoxide","sweating","40 poss","","","","","",""
446,3807,"diazoxide","weakness","40 poss","","","","","",""
446,1316,"diazoxide","headache","40 poss","","","","","",""
446,3156,"diazoxide","sensation of warmth","40 poss","","","","","",""
446,1279,"diazoxide","haematological effects","40 poss","","","","","",""
446,1234,"diazoxide","GI upset","40 poss","","","","","",""
446,1164,"diazoxide","flushing","40 poss","","","","","",""
446,519,"diazoxide","CHF","40 poss","","","","","",""
446,499,"diazoxide","cerebral ischaemia","40 poss","","","","","",""
446,435,"diazoxide","burning sensation","40 poss","","","","","",""
446,1467,"diazoxide","hypersensitivity","40 poss","","","","","",""
446,1444,"diazoxide","hyperglycaemia","40 poss","","","","","",""
448,833,"diclofenac diethylammonium","dermatitis","40 poss","","","","","",""
448,2963,"diclofenac diethylammonium","rash","40 poss","","","","","",""
448,2842,"diclofenac diethylammonium","pruritus","40 poss","","","","","",""
448,954,"diclofenac diethylammonium","eczema","40 poss","","","","","",""
448,619,"diclofenac diethylammonium","contact","40 poss","","","","","",""
448,434,"diclofenac diethylammonium","bullous skin lesions","40 poss","","","","","",""
448,1031,"diclofenac diethylammonium","erythema","40 poss","","","","","",""
452,2382,"dicloxacillin sodium","neurotoxicity","40 poss","","","","","",""
452,190,"dicloxacillin sodium","anaphylactic reaction","40 poss","","","","","",""
452,3682,"dicloxacillin sodium","urticaria","40 poss","","","","","",""
452,3284,"dicloxacillin sodium","skin rash","40 poss","","","","","",""
452,3150,"dicloxacillin sodium","seizure","40 poss","","","","","",""
452,3017,"dicloxacillin sodium","renal impairment","40 poss","","","","","",""
452,2852,"dicloxacillin sodium","Pseudomembranous colitis","40 poss","","","","","",""
452,2844,"dicloxacillin sodium","pruritus superinfection","40 poss","","","","","","Prolonged use"
452,2469,"dicloxacillin sodium","oesophageal pain","40 poss","","","","","",""
452,1467,"dicloxacillin sodium","hypersensitivity","40 poss","","","","","",""
452,1234,"dicloxacillin sodium","GI upset","40 poss","","","","","",""
452,1233,"dicloxacillin sodium","GI ulcer","40 poss","","","","","",""
452,958,"dicloxacillin sodium","ejaculation disorder ","40 poss","","","","","",""
452,527,"dicloxacillin sodium","cholestatic hepatitis","40 poss","","","","","",""
452,368,"dicloxacillin sodium","blood dyscrasia","40 poss","","","","","",""
452,1932,"dicloxacillin sodium","jaundice","40 poss","","","","","",""
454,3093,"didanosine","rhabdomyolysis","40 poss","","","","","",""
454,2027,"didanosine","lipoatrophy/ dystrophy","40 poss","","","","","",""
454,2282,"didanosine","myelosuppression","40 poss","","","","","",""
454,2498,"didanosine","optic nerve changes","40 poss","","","","","",""
454,2585,"didanosine","pancreatitis","40 poss","","","","","",""
454,2662,"didanosine","peripheral neuropathy","40 poss","","","","","",""
454,2842,"didanosine","pruritus","40 poss","","","","","",""
454,1968,"didanosine","lactic acidosis","40 poss","","","","","",""
454,3071,"didanosine","retinal thrombosis","40 poss","","","","","",""
454,2268,"didanosine","myalgia","40 poss","","","","","",""
454,2963,"didanosine","rash","40 poss","","","","","",""
454,1234,"didanosine","GI upset","40 poss","","","","","",""
454,2413,"didanosine","noncirrhotic portal hypertension","40 poss","","","Y","","",""
454,1810,"didanosine","infection","40 poss","","","","","",""
454,270,"didanosine","asthenia","40 poss","","","","","",""
454,1137,"didanosine","fever","40 poss","","","","","",""
454,154,"didanosine","alopecia","40 poss","","","","","",""
454,1348,"didanosine","hepatic failure","40 poss","","","","","",""
454,1375,"didanosine","hepatomegaly with steatosis","40 poss","","","","","",""
454,1489,"didanosine","hyperuricaemia","40 poss","","","","","",""
454,1567,"didanosine","immune reconstitution syndrome","40 poss","","","","","",""
454,520,"didanosine","chills","40 poss","","","","","",""
455,2149,"dienogest","menstrual change","40 poss","","","","","",""
455,2885,"dienogest","pulmonary embolism","40 poss","","","Y","","",""
455,1915,"dienogest","irritability","40 poss","","","","","",""
455,2177,"dienogest","migraine","40 poss","","","","","",""
455,2551,"dienogest","ovarian cyst","40 poss","","","","","",""
455,2629,"dienogest","pelvic pain","40 poss","","","","","",""
455,3296,"dienogest","sleep disorder","40 poss","","","","","",""
455,3338,"dienogest","spotting","40 poss","","","","","",""
455,3683,"dienogest","uterine bleeding","40 poss","","","","","",""
455,3700,"dienogest","Vaginal bleeding","40 poss","","","","","",""
455,3810,"dienogest","weight gain","40 poss","","","","","",""
455,1476,"dienogest","hypertension","40 poss","","","","","",""
455,62,"dienogest","acne","40 poss","","","","","",""
455,3798,"dienogest","VTE","40 poss","","","Y","","",""
455,304,"dienogest","back pain","40 poss","","","","","",""
455,270,"dienogest","asthenia","40 poss","","","","","",""
455,154,"dienogest","alopecia","40 poss","","","","","",""
455,1410,"dienogest","hot flush","40 poss","","","","","",""
455,387,"dienogest","bone pain","40 poss","","","","","",""
455,409,"dienogest","breast discomfort","40 poss","","","","","",""
455,522,"dienogest","chloasma","40 poss","","","","","",""
455,796,"dienogest","Deep Vein Thombosis","40 poss","","","Y","","",""
455,828,"dienogest","depressed mood","40 poss","","","","","",""
455,1065,"dienogest","extremity pain","40 poss","","","","","",""
455,1234,"dienogest","GI upset","40 poss","","","","","",""
455,1316,"dienogest","headache","40 poss","","","","","",""
456,602,"digoxin","confusion","40 poss","","","","","",""
456,3248,"digoxin","sinus bradycardia","40 poss","","","","","",""
456,2963,"digoxin","rash","40 poss","","","","","",""
456,2789,"digoxin","PR prolongation","40 poss","","","","","",""
456,3343,"digoxin","ST segment depression","40 poss","","","","","",""
456,1316,"digoxin","headache","40 poss","","","","","",""
456,3774,"digoxin","visual disturbance","40 poss","","","","","",""
456,1234,"digoxin","GI upset","40 poss","","","","","",""
456,890,"digoxin","dizziness","40 poss","","","","","",""
456,600,"digoxin","Conduction disorder","40 poss","","","","","",""
456,255,"digoxin","arrhythmia","40 poss","","","","","",""
456,212,"digoxin","anorexia","40 poss","","","","","",""
456,899,"digoxin","drowsiness","40 poss","","","","","",""
456,1104,"digoxin","false ST-T changes during exercise testing","40 poss","","","","","",""
457,1422,"digoxin immune fab","hyper/ hypokalaemia","40 poss","","","","","",""
457,3682,"digoxin immune fab","urticaria","40 poss","","","","","",""
457,3015,"digoxin immune fab","renal failure","40 poss","","","","","",""
457,2519,"digoxin immune fab","orthostatic","40 poss","","","","","",""
457,1832,"digoxin immune fab","infusion site phlebitis","40 poss","","","","","",""
457,1467,"digoxin immune fab","hypersensitivity","40 poss","","","","","",""
457,1316,"digoxin immune fab","headache","40 poss","","","","","",""
457,1234,"digoxin immune fab","GI upset","40 poss","","","","","",""
457,1163,"digoxin immune fab","flu-like illness","40 poss","","","","","",""
457,423,"digoxin immune fab","bronchospasm","40 poss","","","","","",""
457,1531,"digoxin immune fab","hypotension","40 poss","","","","","",""
457,1116,"digoxin immune fab","fatigue","40 poss","","","","","",""
457,113,"digoxin immune fab","AF exacerbation","40 poss","","","","","",""
457,517,"digoxin immune fab","chest pain","40 poss","","","","","",""
457,519,"digoxin immune fab","CHF","40 poss","","","","","",""
457,602,"digoxin immune fab","confusion","40 poss","","","","","",""
457,1031,"digoxin immune fab","erythema","40 poss","","","","","",""
457,6,"digoxin immune fab","Ab formation","40 poss","","","","","",""
459,2019,"diltiazem hydrochloride","lightheadedness","40 poss","","","","","",""
459,3285,"diltiazem hydrochloride","skin reaction","40 poss","","","","","",""
459,1531,"diltiazem hydrochloride","hypotension","40 poss","","","","","",""
459,2583,"diltiazem hydrochloride","palpitation","40 poss","","","","","",""
459,2110,"diltiazem hydrochloride","malaise","40 poss","","","","","",""
459,2205,"diltiazem hydrochloride","mood change","40 poss","","","","","",""
459,2460,"diltiazem hydrochloride","oedema","40 poss","","","","","",""
459,3682,"diltiazem hydrochloride","urticaria","40 poss","","","","","",""
459,2701,"diltiazem hydrochloride","photosensitivity","40 poss","","","","","",""
459,3323,"diltiazem hydrochloride","somnolence","40 poss","","","","","",""
459,2963,"diltiazem hydrochloride","rash","40 poss","","","","","",""
459,1359,"diltiazem hydrochloride","hepatitis","40 poss","","","","","",""
459,399,"diltiazem hydrochloride","bradycardia","40 poss","","","","","",""
459,2949,"diltiazem hydrochloride","raised LFTs","40 poss","","","","","",""
459,270,"diltiazem hydrochloride","asthenia","40 poss","","","","","",""
459,829,"diltiazem hydrochloride","depression","40 poss","","","","","",""
459,255,"diltiazem hydrochloride","arrhythmia","40 poss","","","","","",""
459,1316,"diltiazem hydrochloride","headache","40 poss","","","","","",""
459,300,"diltiazem hydrochloride","A-V block","40 poss","","","","","",""
459,519,"diltiazem hydrochloride","CHF","40 poss","","","","","",""
459,890,"diltiazem hydrochloride","dizziness","40 poss","","","","","",""
459,1031,"diltiazem hydrochloride","erythema","40 poss","","","","","",""
459,1055,"diltiazem hydrochloride","extrapyramidal disorder","40 poss","","","","","",""
459,1164,"diltiazem hydrochloride","flushing","40 poss","","","","","",""
459,1234,"diltiazem hydrochloride","GI upset","40 poss","","","","","",""
459,1307,"diltiazem hydrochloride","hallucination","40 poss","","","","","",""
466,3688,"dinoprostone","Uterine hypercontractility","40 poss","","","","","",""
466,3692,"dinoprostone","uterine rupture","40 poss","","","","","",""
466,3354,"dinoprostone","stillbirth","40 poss","","","","","",""
466,2777,"dinoprostone","postpartum haemorrhage","40 poss","","","","","",""
466,2772,"dinoprostone","postop infection","40 poss","","","","","",""
466,1916,"dinoprostone","irritation","40 poss","","","","","",""
466,1485,"dinoprostone","hypertonus","40 poss","","","","","",""
466,1467,"dinoprostone","hypersensitivity","40 poss","","","","","",""
466,1137,"dinoprostone","fever","40 poss","","","","","",""
466,1135,"dinoprostone","fetal distress","40 poss","","","","","",""
466,304,"dinoprostone","back pain","40 poss","","","","","",""
466,190,"dinoprostone","anaphylactic reaction","40 poss","","","","","",""
466,180,"dinoprostone","amniotic fluid embolism","40 poss","","","","","",""
466,159,"dinoprostone","altered fetal heart rate","40 poss","","","","","",""
466,3710,"dinoprostone","vaginal warmth","40 poss","","","","","",""
466,1234,"dinoprostone","GI upset","40 poss","","","","","",""
467,3670,"diphenhydramine hydrochloride","urinary retention","40 poss","","","","","",""
467,1862,"diphenhydramine hydrochloride","insomnia","40 poss","","","","","",""
467,1982,"diphenhydramine hydrochloride","Laxative effect","40 poss","","","","","",""
467,2216,"diphenhydramine hydrochloride","mouth disorder","40 poss","","","","","",""
467,2243,"diphenhydramine hydrochloride","muscle dyskinesia","40 poss","","","","","",""
467,2358,"diphenhydramine hydrochloride","nervousness","40 poss","","","","","",""
467,3149,"diphenhydramine hydrochloride","sedation","40 poss","","","","","",""
467,3436,"diphenhydramine hydrochloride","tachycardia","40 poss","","","","","",""
467,1586,"diphenhydramine hydrochloride","impaired performance","40 poss","","","","","",""
467,3665,"diphenhydramine hydrochloride","urinary hesitancy","40 poss","","","","","",""
467,1603,"diphenhydramine hydrochloride","incoordination","40 poss","","","","","",""
467,3607,"diphenhydramine hydrochloride","tremor","40 poss","","","","","",""
467,229,"diphenhydramine hydrochloride","anxiety","40 poss","","","","","",""
467,1915,"diphenhydramine hydrochloride","irritability","40 poss","","","","","",""
467,126,"diphenhydramine hydrochloride","agitation","40 poss","","","","","",""
467,1307,"diphenhydramine hydrochloride","hallucination","40 poss","","","","","",""
467,241,"diphenhydramine hydrochloride","appetite stimulation","40 poss","","","","","",""
467,376,"diphenhydramine hydrochloride","blurred vision","40 poss","","","","","",""
467,560,"diphenhydramine hydrochloride","CNS depression","40 poss","","","","","",""
467,618,"diphenhydramine hydrochloride","Constipation","40 poss","","","","","",""
467,906,"diphenhydramine hydrochloride","dry eyes","40 poss","","","","","",""
467,910,"diphenhydramine hydrochloride","dry nose","40 poss","","","","","",""
467,1018,"diphenhydramine hydrochloride","epileptogenic foci activation","40 poss","","","","","",""
467,569,"diphenhydramine hydrochloride","CNS stimulation","40 poss","","","","","",""
471,3368,"dipyridamole","ST-T change","40 poss","","","","","",""
471,1531,"dipyridamole","hypotension","40 poss","","","","","",""
471,2171,"dipyridamole","MI","40 poss","","","","","",""
471,2268,"dipyridamole","myalgia","40 poss","","","","","",""
471,2460,"dipyridamole","oedema","40 poss","","","","","",""
471,2606,"dipyridamole","paraesthesia","40 poss","","","","","",""
471,2963,"dipyridamole","rash","40 poss","","","","","",""
471,3751,"dipyridamole","VF","40 poss","","","","","",""
471,3365,"dipyridamole","stroke","40 poss","","","","","",""
471,3526,"dipyridamole","TIA","40 poss","","","","","",""
471,190,"dipyridamole","anaphylactic reaction","40 poss","","","","","",""
471,1467,"dipyridamole","hypersensitivity","40 poss","","","","","",""
471,3150,"dipyridamole","seizure","40 poss","","","","","",""
471,300,"dipyridamole","A-V block","40 poss","","","","","",""
471,205,"dipyridamole","angioedema","40 poss","","","","","",""
